feature,mean_importance
APR Medical Surgical Description,0.0
Payment Typology 1,0.0
Abortion Edit Indicator,0.0
Payment Typology 2,0.0
Zip Code - 3 digits,0.0
Gender,0.0
Race,0.0
Ethnicity,0.0
APR Severity of Illness Description,0.0
Payment Typology 3,0.0
Patient Disposition,0.0
CCS Procedure Description,3.422106703641469e-09
Operating Certificate Number,4.061944679845716e-08
Length of Stay,1.5341156968283952e-07
CCS Procedure Code,1.9266651292834323e-07
Facility Id,2.4053952650242986e-07
Hospital County,2.9808113336177774e-07
APR Severity of Illness Code,3.212810342223928e-07
APR Risk of Mortality,3.465767817457748e-07
APR MDC Code,4.370725640595206e-07
Age Group,4.840979728127823e-07
Total Charges,7.602153824537634e-07
Health Service Area,9.74721355976563e-07
CCS Diagnosis Description,1.207694301835825e-06
Facility Name,1.574575765617137e-06
APR DRG Code,2.048931994469297e-06
APR DRG Description,5.007209066169199e-06
Total Costs,6.123950650125721e-06
APR MDC Description,9.012070774471468e-06
CCS Diagnosis Code,1.3287011226194724e-05
Emergency Department Indicator,0.00016012740062838543
Birth Weight,0.01135536151275413
Type of Admission,3.8822464070321323
