feature,shap_importance
Type of Admission,13.361394
Birth Weight,2.0670874
Emergency Department Indicator,1.1537303
APR MDC Description,0.3202565
Total Costs,0.25360987
CCS Diagnosis Code,0.2505764
Facility Id,0.18766768
Total Charges,0.14681748
CCS Diagnosis Description,0.06049822
CCS Procedure Code,0.05113265
APR DRG Description,0.050030068
APR MDC Code,0.025491422
Facility Name,0.02363145
APR DRG Code,0.022914406
Age Group,0.015160287
Hospital County,0.0078994855
APR Risk of Mortality,0.0037719642
APR Severity of Illness Code,0.0029514888
Length of Stay,0.0021119893
Operating Certificate Number,0.0014605422
CCS Procedure Description,0.001351304
Health Service Area,0.00031588273
Patient Disposition,0.0
APR Severity of Illness Description,0.0
Ethnicity,0.0
APR Medical Surgical Description,0.0
Payment Typology 1,0.0
Payment Typology 2,0.0
Payment Typology 3,0.0
Race,0.0
Abortion Edit Indicator,0.0
Gender,0.0
Zip Code - 3 digits,0.0
