feature,mean_importance
CCS Procedure Description,0.0
Total Charges,0.0
Zip Code - 3 digits,0.0
Facility Name,0.0
Total Costs,0.0
Hospital County,0.0
APR DRG Description,8.673617379884036e-20
Operating Certificate Number,8.673617379884036e-20
Gender,8.673617379884036e-20
Race,8.673617379884036e-20
Length of Stay,8.673617379884036e-20
Patient Disposition,8.673617379884036e-20
Payment Typology 1,8.673617379884036e-20
APR Medical Surgical Description,8.673617379884036e-20
APR DRG Code,8.673617379884036e-20
APR Risk of Mortality,8.673617379884036e-20
Ethnicity,1.7347234759768072e-19
CCS Procedure Code,1.7347234759768072e-19
Facility Id,1.7347234759768072e-19
Abortion Edit Indicator,2.6020852139652105e-19
APR Severity of Illness Description,2.6020852139652105e-19
Health Service Area,2.6020852139652105e-19
APR Severity of Illness Code,2.6020852139652105e-19
Payment Typology 2,3.4694469519536144e-19
Payment Typology 3,3.4694469519536144e-19
APR MDC Description,4.336808689942018e-19
APR MDC Code,2.6626313502834623e-05
Age Group,0.0014209266483857564
CCS Diagnosis Description,0.001441503081689173
CCS Diagnosis Code,0.0037728284955537645
Emergency Department Indicator,0.006306351838204926
Birth Weight,0.03526687374018598
Type of Admission,6.909541131740893
